,0,1,2
0,b'0',b'0',b'0'
1,b'0',b'0',b'0'
2,b'0',b'0',b'0'
3,b'0',b'0',b'0'
4,b'0',b'0',b'0'
5,b'0',b'0',b'0'
6,b'0',b'0',b'0'
7,b'0',b'0',b'0'
8,b'0',b'0',b'0'
9,b'0',b'0',b'0'
10,b'0',b'0',b'0'
11,b'0',b'0',b'0'
12,b'0',b'0',b'0'
13,b'0',b'0',b'0'
14,b'0',b'0',b'0'
15,b'0',b'0',b'0'
16,b'0',b'0',b'0'
17,b'0',b'0',b'0'
18,b'0',b'0',b'0'
19,b'0',b'0',b'0'
20,b'0',b'0',b'0'
21,b'0',b'0',b'0'
22,b'0',b'0',b'0'
23,b'0',b'0',b'0'
24,b'0',b'0',b'0'
25,b'0',b'0',b'0'
26,b'0',b'0',b'0'
27,b'0',b'0',b'0'
28,b'0',b'0',b'0'
29,b'0',b'0',b'0'
30,b'0',b'0',b'0'
31,b'0',b'0',b'0'
32,b'0',b'0',b'0'
33,b'0',b'0',b'0'
34,b'0',b'0',b'0'
35,b'0',b'0',b'0'
36,b'0',b'0',b'0'
37,b'0',b'0',b'0'
38,b'0',b'0',b'0'
39,b'0',b'0',b'0'
40,b'0',b'0',b'0'
41,b'0',b'0',b'0'
42,b'0',b'0',b'0'
43,b'0',b'0',b'0'
44,b'0',b'0',b'0'
45,b'0',b'0',b'0'
46,b'0',b'0',b'0'
47,b'0',b'0',b'0'
48,b'0',b'0',b'0'
49,b'0',b'0',b'0'
50,b'0',b'0',b'0'
51,b'0',b'0',b'0'
52,b'0',b'0',b'0'
53,b'0',b'0',b'0'
54,b'0',b'0',b'0'
55,b'0',b'0',b'0'
56,b'0',b'0',b'0'
57,b'0',b'0',b'0'
58,b'0',b'0',b'0'
59,b'0',b'0',b'0'
60,b'0',b'0',b'0'
61,b'2000011_61',b'2000071_61',b'1'
62,b'0',b'0',b'0'
63,b'0',b'0',b'0'
64,b'0',b'0',b'0'
65,b'0',b'0',b'0'
66,b'0',b'0',b'0'
67,b'0',b'0',b'0'
68,b'0',b'0',b'0'
69,b'0',b'0',b'0'
70,b'0',b'0',b'0'
71,b'0',b'0',b'0'
72,b'0',b'0',b'0'
73,b'0',b'0',b'0'
74,b'0',b'0',b'0'
75,b'0',b'0',b'0'
76,b'0',b'0',b'0'
77,b'0',b'0',b'0'
78,b'0',b'0',b'0'
79,b'0',b'0',b'0'
80,b'0',b'0',b'0'
81,b'0',b'0',b'0'
82,b'0',b'0',b'0'
83,b'0',b'0',b'0'
84,b'0',b'0',b'0'
85,b'0',b'0',b'0'
86,b'0',b'0',b'0'
87,b'0',b'0',b'0'
88,b'0',b'0',b'0'
89,b'0',b'0',b'0'
90,b'0',b'0',b'0'
91,b'0',b'0',b'0'
92,b'0',b'0',b'0'
93,b'0',b'0',b'0'
94,b'0',b'0',b'0'
95,b'0',b'0',b'0'
96,b'0',b'0',b'0'
97,b'0',b'0',b'0'
98,b'0',b'0',b'0'
99,b'0',b'0',b'0'
100,b'0',b'0',b'0'
101,b'0',b'0',b'0'
102,b'0',b'0',b'0'
103,b'0',b'0',b'0'
104,b'0',b'0',b'0'
105,b'0',b'0',b'0'
106,b'0',b'0',b'0'
107,b'0',b'0',b'0'
108,b'0',b'0',b'0'
109,b'0',b'0',b'0'
110,b'0',b'0',b'0'
111,b'0',b'0',b'0'
112,b'0',b'0',b'0'
113,b'0',b'0',b'0'
114,b'0',b'0',b'0'
115,b'0',b'0',b'0'
116,b'0',b'0',b'0'
117,b'0',b'0',b'0'
118,b'0',b'0',b'0'
119,b'0',b'0',b'0'
120,b'0',b'0',b'0'
121,b'0',b'0',b'0'
122,b'0',b'0',b'0'
123,b'0',b'0',b'0'
124,b'0',b'0',b'0'
125,b'0',b'0',b'0'
126,b'0',b'0',b'0'
127,b'0',b'0',b'0'
128,b'0',b'0',b'0'
129,b'0',b'0',b'0'
130,b'0',b'0',b'0'
131,b'0',b'0',b'0'
132,b'0',b'0',b'0'
133,b'0',b'0',b'0'
134,b'0',b'0',b'0'
135,b'0',b'0',b'0'
136,b'0',b'0',b'0'
137,b'0',b'0',b'0'
138,b'0',b'0',b'0'
139,b'0',b'0',b'0'
140,b'0',b'0',b'0'
141,b'0',b'0',b'0'
142,b'0',b'0',b'0'
143,b'0',b'0',b'0'
144,b'0',b'0',b'0'
145,b'0',b'0',b'0'
146,b'0',b'0',b'0'
147,b'0',b'0',b'0'
148,b'0',b'0',b'0'
149,b'0',b'0',b'0'
150,b'0',b'0',b'0'
151,b'0',b'0',b'0'
152,b'0',b'0',b'0'
153,b'0',b'0',b'0'
154,b'0',b'0',b'0'
155,b'0',b'0',b'0'
156,b'0',b'0',b'0'
157,b'0',b'0',b'0'
158,b'0',b'0',b'0'
159,b'0',b'0',b'0'
160,b'0',b'0',b'0'
161,b'0',b'0',b'0'
162,b'0',b'0',b'0'
163,b'0',b'0',b'0'
164,b'0',b'0',b'0'
165,b'0',b'0',b'0'
166,b'0',b'0',b'0'
167,b'0',b'0',b'0'
168,b'0',b'0',b'0'
169,b'0',b'0',b'0'
170,b'0',b'0',b'0'
171,b'0',b'0',b'0'
172,b'0',b'0',b'0'
173,b'0',b'0',b'0'
174,b'0',b'0',b'0'
175,b'0',b'0',b'0'
176,b'0',b'0',b'0'
177,b'0',b'0',b'0'
178,b'0',b'0',b'0'
179,b'0',b'0',b'0'
180,b'0',b'0',b'0'
181,b'0',b'0',b'0'
182,b'0',b'0',b'0'
183,b'0',b'0',b'0'
184,b'0',b'0',b'0'
185,b'0',b'0',b'0'
186,b'0',b'0',b'0'
187,b'0',b'0',b'0'
188,b'0',b'0',b'0'
189,b'0',b'0',b'0'
190,b'0',b'0',b'0'
191,b'0',b'0',b'0'
192,b'0',b'0',b'0'
193,b'0',b'0',b'0'
194,b'0',b'0',b'0'
195,b'0',b'0',b'0'
196,b'0',b'0',b'0'
197,b'0',b'0',b'0'
198,b'0',b'0',b'0'
199,b'0',b'0',b'0'
200,b'0',b'0',b'0'
201,b'0',b'0',b'0'
202,b'0',b'0',b'0'
203,b'0',b'0',b'0'
204,b'0',b'0',b'0'
205,b'0',b'0',b'0'
206,b'0',b'0',b'0'
207,b'0',b'0',b'0'
208,b'0',b'0',b'0'
209,b'0',b'0',b'0'
210,b'0',b'0',b'0'
211,b'0',b'0',b'0'
212,b'0',b'0',b'0'
213,b'0',b'0',b'0'
214,b'0',b'0',b'0'
215,b'0',b'0',b'0'
216,b'0',b'0',b'0'
217,b'0',b'0',b'0'
218,b'0',b'0',b'0'
219,b'0',b'0',b'0'
220,b'0',b'0',b'0'
221,b'0',b'0',b'0'
222,b'0',b'0',b'0'
223,b'0',b'0',b'0'
224,b'0',b'0',b'0'
225,b'0',b'0',b'0'
226,b'0',b'0',b'0'
227,b'0',b'0',b'0'
228,b'0',b'0',b'0'
229,b'0',b'0',b'0'
230,b'0',b'0',b'0'
231,b'0',b'0',b'0'
232,b'0',b'0',b'0'
233,b'0',b'0',b'0'
234,b'0',b'0',b'0'
235,b'0',b'0',b'0'
236,b'0',b'0',b'0'
237,b'0',b'0',b'0'
238,b'0',b'0',b'0'
239,b'0',b'0',b'0'
240,b'0',b'0',b'0'
241,b'0',b'0',b'0'
242,b'0',b'0',b'0'
243,b'0',b'0',b'0'
244,b'0',b'0',b'0'
245,b'0',b'0',b'0'
246,b'0',b'0',b'0'
247,b'0',b'0',b'0'
248,b'0',b'0',b'0'
249,b'0',b'0',b'0'
250,b'0',b'0',b'0'
251,b'0',b'0',b'0'
252,b'0',b'0',b'0'
253,b'0',b'0',b'0'
254,b'0',b'0',b'0'
255,b'0',b'0',b'0'
256,b'0',b'0',b'0'
257,b'0',b'0',b'0'
258,b'0',b'0',b'0'
259,b'0',b'0',b'0'
260,b'0',b'0',b'0'
261,b'0',b'0',b'0'
262,b'0',b'0',b'0'
263,b'0',b'0',b'0'
264,b'0',b'0',b'0'
265,b'0',b'0',b'0'
266,b'0',b'0',b'0'
267,b'0',b'0',b'0'
268,b'0',b'0',b'0'
269,b'0',b'0',b'0'
270,b'0',b'0',b'0'
271,b'0',b'0',b'0'
272,b'0',b'0',b'0'
273,b'0',b'0',b'0'
274,b'2000011_274',b'2000071_274',b'1'
275,b'2000011_275',b'2000071_275',b'1'
276,b'0',b'0',b'0'
277,b'0',b'0',b'0'
278,b'0',b'0',b'0'
279,b'0',b'0',b'0'
280,b'0',b'0',b'0'
281,b'0',b'0',b'0'
282,b'0',b'0',b'0'
283,b'0',b'0',b'0'
284,b'0',b'0',b'0'
285,b'0',b'0',b'0'
286,b'0',b'0',b'0'
287,b'0',b'0',b'0'
288,b'0',b'0',b'0'
289,b'0',b'0',b'0'
290,b'0',b'0',b'0'
291,b'0',b'0',b'0'
292,b'0',b'0',b'0'
293,b'0',b'0',b'0'
294,b'0',b'0',b'0'
295,b'0',b'0',b'0'
296,b'0',b'0',b'0'
297,b'0',b'0',b'0'
298,b'0',b'0',b'0'
299,b'0',b'0',b'0'
300,b'0',b'0',b'0'
301,b'0',b'0',b'0'
302,b'0',b'0',b'0'
303,b'0',b'0',b'0'
304,b'0',b'0',b'0'
305,b'0',b'0',b'0'
306,b'0',b'0',b'0'
307,b'0',b'0',b'0'
308,b'0',b'0',b'0'
309,b'0',b'0',b'0'
310,b'0',b'0',b'0'
311,b'0',b'0',b'0'
312,b'0',b'0',b'0'
313,b'0',b'0',b'0'
314,b'0',b'0',b'0'
315,b'0',b'0',b'0'
316,b'0',b'0',b'0'
317,b'0',b'0',b'0'
318,b'0',b'0',b'0'
319,b'0',b'0',b'0'
320,b'0',b'0',b'0'
321,b'0',b'0',b'0'
322,b'0',b'0',b'0'
323,b'0',b'0',b'0'
324,b'0',b'0',b'0'
325,b'0',b'0',b'0'
326,b'0',b'0',b'0'
327,b'0',b'0',b'0'
328,b'0',b'0',b'0'
329,b'0',b'0',b'0'
330,b'0',b'0',b'0'
331,b'0',b'0',b'0'
332,b'0',b'0',b'0'
333,b'0',b'0',b'0'
334,b'0',b'0',b'0'
335,b'0',b'0',b'0'
336,b'0',b'0',b'0'
337,b'0',b'0',b'0'
338,b'0',b'0',b'0'
339,b'0',b'0',b'0'
340,b'0',b'0',b'0'
341,b'0',b'0',b'0'
342,b'0',b'0',b'0'
343,b'0',b'0',b'0'
344,b'0',b'0',b'0'
345,b'0',b'0',b'0'
346,b'0',b'0',b'0'
347,b'0',b'0',b'0'
348,b'0',b'0',b'0'
349,b'0',b'0',b'0'
350,b'0',b'0',b'0'
351,b'0',b'0',b'0'
352,b'0',b'0',b'0'
353,b'0',b'0',b'0'
